V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,treatment,purchase
2.6,A,0.72,0.36,99.81,5.8,47.75,0.04,1.07,10.93,11,758.08,0.21,0.18,8,0.29,0.14,0,D,8.63,0,0
0.64,A,0.84,0.18,28.6,2.26,47.29,0.98,3.95,8.55,15,52.05,0.07,7.03,8,0.14,1.49,0,F,22.72,0,0
0.49,A,0.8,0.24,48.22,1.83,43.96,0.02,3.14,12.91,18,90322.27,0.41,13.45,7,0.1,0.01,0,B,30.26,0,0
1.02,A,0.34,0.51,9.06,1.6,44.81,0.17,0.01,9.88,14,49.1,0.82,0.78,12,0.21,1.13,0,C,13.21,0,0
0.76,A,0.11,0.44,36.68,0.28,46.95,0.38,1.67,5.5,18,27.83,0.68,1.71,10,0.59,3.69,0,A,16.62,1,0
1.09,A,0.42,0.16,2.04,0.37,36.66,0.49,0.7,9.27,10,31.45,0.51,4.02,9,0.55,0.5,0,A,14.86,1,0
7.27,A,0.93,0.04,63.16,2.53,40.35,0.09,0.76,9.05,7,10.96,0.71,4.04,10,0.77,0.15,0,A,22.53,0,0
0.03,A,0.32,0.84,113.1,0.28,46.83,0.78,11.24,3.55,17,93.65,0.8,0.34,8,1,3.88,0,B,17.29,0,0
1.48,A,0.68,0.6,3.07,1.47,39.11,0.07,0.15,14.86,15,1148.59,0.31,0.34,11,0.21,1.96,0,C,16.74,0,0
0.69,A,0.24,0.87,6.02,0.3,43.97,0.56,2.39,9.47,19,48.18,0.68,5.17,7,0.73,1.76,0,A,22.45,1,0
0.74,A,0.34,0.82,16.56,0.28,44.8,0.42,0.6,11.54,15,1205.41,0.4,0.5,9,0.61,7.49,0,C,15.45,0,0
4.78,A,0.85,0.08,34.48,1.45,46.73,0.15,0.96,10.05,14,250.56,0.59,0.06,13,0.87,3.65,0,C,13.33,0,0
0.27,A,0.36,0.51,15.99,0.2,41.15,0.52,1.32,9.2,10,35.51,0.55,1.04,14,0.6,0.66,0,B,25.92,0,0
0.98,A,0.62,0.93,31.16,1.83,44.81,0.81,4.51,8.1,19,703.78,0.67,0.56,8,0.74,1.41,0,E,13.97,1,0
0.68,A,0.75,0.18,62.62,0.42,40.02,0.25,2.13,7.78,14,33.05,0.64,3,11,0.56,1.58,0,A,22.1,1,0
0.32,A,0.44,0.15,33.8,0.98,48.22,0.81,2.63,13.17,10,70.02,0.27,6.29,8,0.4,0.35,0,D,36.24,0,0
4.09,A,0.66,0.02,39.5,4.99,49.66,0.38,0.07,8.14,11,465.92,0.76,0.28,8,0.46,0.36,0,C,10.15,0,0
0.09,A,0,0.98,1.26,1.83,46.84,0.72,1.21,9.5,23,9.27,0.42,0.3,10,0.31,1.47,0,D,13.42,0,0
1.27,A,0.04,0.49,32.05,0.14,51.63,0.81,0.28,6.13,14,29.64,0.74,7.32,5,0.59,0.86,0,A,27.32,0,0
0.38,A,0.24,0.94,15.4,0.53,45.38,0.33,2.22,10.72,14,500.65,0.52,0.42,8,0.73,0.71,0,A,18.75,0,0
2.22,A,0.18,0.57,103.35,0.21,43.15,0.01,0.43,13.26,16,303.94,0.9,0.51,13,0.61,3.78,0,A,27.9,0,0
0.82,A,0.18,0.82,14.83,0.6,44.75,0.66,1.32,17.93,15,6.28,0.15,0.5,12,0.14,2.5,0,D,30.1,0,0
4.29,A,0.81,0.03,4.47,2.83,37.73,0.83,0.91,9.42,10,24.68,0.34,3.18,8,0.59,0.54,0,B,18.05,0,0
1.82,A,0.85,0.05,97.7,3,41.52,0.47,1.47,14.56,7,14.74,0.18,0.66,13,0.43,2.01,0,G,27.05,0,0
0.13,A,0.73,0.58,24.63,4.03,45.14,0.67,0.48,13.6,11,156.74,0.37,2.16,6,0.01,0.28,0,C,13.3,0,0
1.36,A,0.62,0.11,507.58,0.88,45.79,0.37,0.31,9.12,9,130.38,0.73,0.12,11,0.5,0.59,0,A,20.79,0,0
2.39,A,0.9,0.19,1088.75,3.64,45.27,0.35,0.53,6.88,12,55.06,0.95,4.86,6,0.57,0.27,0,A,23.95,0,0
7.71,A,0.7,0.48,209.42,2.74,49.43,0.73,0.67,5.85,14,6.56,0.66,7.73,6,0.55,1,0,A,15.87,0,0
0.37,A,0.31,0.69,3.97,0.6,38.35,0.69,2.36,10.66,13,104.36,0.11,5.83,9,0.24,0.35,0,A,19.8,0,0
1.46,A,0.31,0.58,9.08,0.51,42.13,0.34,0.27,11.5,9,9.35,0.21,0.46,12,0.35,2.25,0,A,13.13,0,0
0.43,A,0.45,0.84,32.34,0.53,47.9,0.96,2.04,7.19,14,181.1,0.3,2.62,5,0.72,2.72,0,B,23.82,0,0
4.58,A,0.98,0.5,158.91,1.52,45.2,0.45,4.12,12.04,15,1366.67,0.14,20.15,5,0.2,1.6,0,B,21.32,0,0
6.22,A,0.98,0.37,100.96,3.14,43.42,0.29,1.81,7.31,13,211.92,0.23,19.57,6,0.47,1.9,0,B,13.53,0,0
1.78,A,0.44,0.67,482.7,0.7,53.58,0.33,1.83,9.45,19,291.15,0.8,7.35,8,0.5,3.25,0,B,26.4,0,0
4.85,A,0.78,0.64,18.23,0.75,50.12,0.53,0.6,13.84,13,1729.63,0.05,19.84,8,0.16,0.93,0,D,32.38,1,0
0.76,A,0.34,0.53,147.69,1.21,45.05,0.41,7.44,5.38,19,19.35,0.95,1.67,12,0.97,1.41,0,B,25.06,0,0
2.49,A,0.5,0.72,484.33,0.49,48.08,0.84,2.46,7.41,15,9.21,0.9,7.85,8,0.6,0.7,0,A,28.38,1,0
1.73,A,0.03,0.63,6.8,0.04,36.32,0.12,0.36,11.65,14,62.14,0.97,0.18,14,0.87,1,0,A,30.28,0,0
2.99,A,0.93,0.03,58.67,6.5,42.77,0,0.85,14.5,8,4410.03,0.33,0.19,7,0.29,0.04,0,B,11.33,0,0
0.14,A,0.28,0.51,10.61,0.18,43.42,0.93,3.62,9.68,15,174.63,0.45,3.29,7,0.39,0.58,0,A,27.43,0,0
0.09,A,0.54,0.29,17.61,0.65,40.42,0.75,9.45,4.33,20,36.67,0.4,31.04,9,0.68,2.41,0,C,20.57,0,0
0.09,A,0.16,0.74,23.95,1.19,39.47,0.81,5.19,10.56,16,192.7,0.25,0.85,9,0.5,1.26,0,D,22.49,1,0
1.53,A,0.79,0.65,3217.56,6.04,51.94,0.86,0.72,2.82,13,12.96,0.86,39.27,2,0.08,0.06,0,B,8.89,1,0
0.45,A,0.57,0.6,11,2.97,43.28,0.87,5.88,9.06,14,101.59,0.33,0.1,10,0.82,1.27,0,G,12.2,0,0
1.06,A,0.18,0.68,20.14,0.25,49.31,0.66,4.15,9.53,24,236.64,0.58,7.52,11,0.59,1.65,0,C,30.46,0,0
0.57,A,0.54,0.2,6.8,1.48,41,0.47,2.85,15.62,9,398.64,0.14,0.02,12,0.8,5.84,0,G,13.56,0,0
1.28,A,0.45,0.21,211.97,5.14,46.6,0.67,3.01,9.42,15,16.79,0.15,5.24,7,0.05,0.31,0,C,13.21,0,0
0.34,A,0.43,0.88,82.73,0.41,51.11,0.64,0.67,9.87,17,102.81,0.93,11.93,6,0.27,1.41,0,A,24.15,0,0
1,A,0.63,0.35,568.49,4.87,44.38,0.85,1.7,8.5,11,12.87,0.48,1.6,8,0.36,1.15,0,F,17.29,1,0
1.36,A,0.53,0.42,5.02,6.75,49.51,0.42,0.78,12.39,21,25023.49,0.11,2.49,4,0.01,0.52,0,E,6.56,0,0
0.9,A,0.51,0.89,83.57,0.42,53.57,0.91,1.28,6.74,17,66.9,0.42,9.67,6,0.56,4.8,0,D,16.88,0,0
0.71,A,0.03,0.64,93.33,0.15,45.64,0.09,5.53,13.75,12,13.01,0.68,0.1,16,0.83,1.16,0,A,31.03,0,0
2.66,A,0.13,0.66,54.95,1.86,48.6,0.98,1.05,7.51,16,3.5,0.56,1.42,8,0.53,2.02,0,B,19.54,0,0
0.46,A,0.21,0.22,1.24,0.54,39.04,0.7,2.78,10.72,12,79.9,0.02,0.46,13,0.67,6.07,0,D,14.07,0,0
3.73,A,1,0.01,136.27,4.16,42.11,0,2.63,19.18,10,38606.6,0.13,1.83,10,0.02,0.06,0,B,22.78,1,1
0.1,A,0.26,0.3,22.31,0.71,45.55,0.66,2.63,8.58,16,52.77,0.21,2.39,8,0.28,4.19,0,C,13.57,0,0
0.02,A,0.48,0.65,1.27,1.8,43.42,0.94,0.44,8.64,15,3.69,0.15,1.6,11,0.19,2.03,0,H,15.39,0,0
0.93,A,0.3,0.86,219.12,1.5,46.49,0.53,0.64,6.45,18,133.53,0.98,20.76,6,0.4,0.34,0,A,23.93,0,0
2.17,A,0.66,0.59,254,0.97,48.36,0.13,1.58,9,13,24.67,0.92,3.41,7,0.85,2.22,0,A,19.45,0,0
0.48,A,0.5,0.61,2.4,0.99,41.62,0.35,1.43,13.09,12,85.56,0.32,0.77,10,0.33,1.26,0,B,17.49,0,0
