"","decision","company_name","prob"
"1",0,"1",0.016
"2",0,"2",0.014
"3",0,"3",0.002
"4",1,"4",0.312
"5",0,"5",0.023
"6",1,"6",0.109
"7",1,"7",0.116
"8",1,"8",0.14
"9",0,"9",0.002
"10",1,"10",0.617
"11",0,"11",0.041
"12",1,"12",0.117
"13",0,"13",0.006
"14",1,"14",0.299
"15",0,"15",0.003
"16",0,"16",0.04
"17",0,"17",0.014
"18",0,"18",0.009
"19",0,"19",0.009
"20",0,"20",0.003
"21",0,"21",0.09
"22",1,"22",0.436
"23",0,"23",0.063
"24",0,"24",0.027
"25",1,"25",0.118
"26",0,"26",0.018
"27",0,"27",0.02
"28",0,"28",0.021
"29",0,"29",0.05
"30",0,"30",0.056
"31",0,"31",0.039
"32",0,"32",0.068
"33",0,"33",0.001
"34",0,"34",0.001
"35",0,"35",0.013
"36",0,"36",0.008
"37",0,"37",0.008
"38",0,"38",0.011
"39",1,"39",0.244
"40",0,"40",0.05
"41",0,"41",0.018
"42",1,"42",0.116
"43",0,"43",0.017
"44",0,"44",0.01
"45",0,"45",0.001
"46",1,"46",0.468
"47",0,"47",0.015
"48",0,"48",0.008
"49",0,"49",0.011
"50",0,"50",0.046
"51",0,"51",0.049
"52",0,"52",0.085
"53",1,"53",0.181
"54",0,"54",0.065
"55",0,"55",0.027
"56",0,"56",0.007
"57",0,"57",0.002
"58",0,"58",0.048
"59",0,"59",0.062
"60",0,"60",0.007
"61",0,"61",0.024
"62",0,"62",0.013
"63",0,"63",0.018
"64",1,"64",0.223
"65",1,"65",0.358
"66",0,"66",0.06
"67",0,"67",0.078
"68",0,"68",0
"69",0,"69",0.059
"70",0,"70",0.012
"71",0,"71",0.086
"72",1,"72",0.137
"73",1,"73",0.375
"74",0,"74",0.088
"75",0,"75",0.049
"76",0,"76",0.001
"77",0,"77",0.02
"78",0,"78",0.008
"79",0,"79",0.014
"80",0,"80",0.003
"81",1,"81",0.127
"82",0,"82",0.026
"83",0,"83",0.076
"84",0,"84",0.005
"85",0,"85",0.011
"86",0,"86",0.096
"87",1,"87",0.133
"88",0,"88",0.069
"89",1,"89",0.322
"90",0,"90",0.023
"91",0,"91",0.013
"92",0,"92",0.062
"93",0,"93",0.009
"94",0,"94",0.038
"95",0,"95",0.031
"96",0,"96",0.019
"97",0,"97",0.004
"98",0,"98",0.004
"99",0,"99",0.067
"100",0,"100",0.036
"101",0,"101",0.004
"102",1,"102",0.291
"103",0,"103",0.01
"104",0,"104",0.019
"105",0,"105",0.075
"106",0,"106",0.037
"107",0,"107",0.024
"108",0,"108",0.005
"109",0,"109",0.01
"110",0,"110",0.033
"111",1,"111",0.31
